Punto de partida,punto de llegada,Linea,Minuto de viaje programada,Recorrido minimo observado,Marca de tiempo,Hora del día ,Dia de la semana,Es fin de semana,Transferir,Clima de lluvia,Ocupación Estimada,Evento especial
Portal Norte,Calle 100,linea_roja,12,12.08,03/01/2025 14:11,14,4,0,0,0,24,0
Portal Norte,Calle 100,linea_roja,12,14.75,26/01/2025 19:12,19,6,1,0,0,31,0
Portal Norte,Calle 100,linea_roja,12,11.85,16/01/2025 13:19,13,3,0,0,0,228,0
Portal Norte,Calle 100,linea_roja,12,14.98,28/01/2025 09:44,9,1,0,0,0,8,0
Portal Norte,Calle 100,linea_roja,12,15.18,21/01/2025 14:41,14,1,0,0,1,69,0
Portal Norte,Calle 100,linea_roja,12,12.34,02/01/2025 04:11,4,3,0,0,0,225,0
Portal Norte,Calle 100,linea_roja,12,16.51,13/01/2025 06:48,6,0,0,0,0,272,0
Portal Norte,Calle 100,linea_roja,12,12.16,10/01/2025 14:56,14,4,0,0,0,332,0
Portal Norte,Calle 100,linea_roja,12,14.89,15/01/2025 13:21,13,2,0,0,1,227,0
Portal Norte,Calle 100,linea_roja,12,14.62,30/01/2025 06:15,6,3,0,0,0,310,0
Portal Norte,Calle 100,linea_roja,12,14.46,23/01/2025 07:59,7,3,0,0,0,391,0
Portal Norte,Calle 100,linea_roja,12,12.49,04/01/2025 23:13,23,5,1,0,0,341,0
Portal Norte,Calle 100,linea_roja,12,11.75,16/01/2025 10:48,10,3,0,0,0,238,0
Portal Norte,Calle 100,linea_roja,12,14.04,16/01/2025 12:07,12,3,0,0,1,305,0
Portal Norte,Calle 100,linea_roja,12,18.61,29/01/2025 19:17,19,2,0,0,0,212,0
Portal Norte,Calle 100,linea_roja,12,10.23,03/01/2025 22:14,22,4,0,0,0,258,0
Portal Norte,Calle 100,linea_roja,12,9.73,29/01/2025 21:07,21,2,0,0,0,83,0
Portal Norte,Calle 100,linea_roja,12,11.35,21/01/2025 10:30,10,1,0,0,0,241,0
